x, y, z, u
0.9, 0.04, 0, 0.00358535
0.92, 0.04, 0, 0.00288626
0.94, 0.04, 0, 0.00217521
0.96, 0.04, 0, 0.00145512
0.98, 0.04, 0, 0.000728982
0.02, 0.08, 0, 0.00146876
0.04, 0.08, 0, 0.00293177
0.06, 0.08, 0, 0.00438252
0.08, 0.08, 0, 0.00581498
0.1, 0.08, 0, 0.00722321
0.12, 0.08, 0, 0.0086014
0.14, 0.08, 0, 0.00994418
0.16, 0.08, 0, 0.0112463
0.18, 0.08, 0, 0.0125024
0.2, 0.08, 0, 0.0137073
0.22, 0.08, 0, 0.0148563
0.24, 0.08, 0, 0.0159449
0.26, 0.08, 0, 0.016969
0.28, 0.08, 0, 0.0179247
0.3, 0.08, 0, 0.0188086
0.32, 0.08, 0, 0.0196173
0.34, 0.08, 0, 0.020348
0.36, 0.08, 0, 0.021
0.38, 0.08, 0, 0.0215708
0.4, 0.08, 0, 0.0220573
0.42, 0.08, 0, 0.0224578
0.44, 0.08, 0, 0.0227702
0.46, 0.08, 0, 0.0229938
0.48, 0.08, 0, 0.0231276
0.5, 0.08, 0, 0.0231714
0.52, 0.08, 0, 0.0231251
0.54, 0.08, 0, 0.0229889
0.56, 0.08, 0, 0.0227633
0.58, 0.08, 0, 0.0224492
0.6, 0.08, 0, 0.0220502
0.62, 0.08, 0, 0.0215682
0.64, 0.08, 0, 0.0210021
0.66, 0.08, 0, 0.0203526
0.68, 0.08, 0, 0.0196222
0.7, 0.08, 0, 0.0188136
0.72, 0.08, 0, 0.0179298
0.74, 0.08, 0, 0.016974
0.76, 0.08, 0, 0.0159498
0.78, 0.08, 0, 0.0148611
0.8, 0.08, 0, 0.0137121
0.82, 0.08, 0, 0.0125071
0.84, 0.08, 0, 0.011251
0.86, 0.08, 0, 0.00994867
0.88, 0.08, 0, 0.0086053
0.9, 0.08, 0, 0.00722634
0.92, 0.08, 0, 0.00581741
0.94, 0.08, 0, 0.0043843
0.96, 0.08, 0, 0.00293294
0.98, 0.08, 0, 0.00146934
0.02, 0.12, 0, 0.00223341
0.04, 0.12, 0, 0.00445802
0.06, 0.12, 0, 0.00666391
0.08, 0.12, 0, 0.00884186
0.1, 0.12, 0, 0.0109828
0.12, 0.12, 0, 0.0130779
0.14, 0.12, 0, 0.0151187
0.16, 0.12, 0, 0.0170975
0.18, 0.12, 0, 0.0190061
0.2, 0.12, 0, 0.0208367
0.22, 0.12, 0, 0.022582
0.24, 0.12, 0, 0.0242354
0.26, 0.12, 0, 0.0257905
0.28, 0.12, 0, 0.0272415
0.3, 0.12, 0, 0.028583
0.32, 0.12, 0, 0.0298099
0.34, 0.12, 0, 0.0309197
0.36, 0.12, 0, 0.0319103
0.38, 0.12, 0, 0.0327768
0.4, 0.12, 0, 0.0335145
0.42, 0.12, 0, 0.034121
0.44, 0.12, 0, 0.0345943
0.46, 0.12, 0, 0.0349328
0.48, 0.12, 0, 0.0351355
0.5, 0.12, 0, 0.0352017
0.52, 0.12, 0, 0.0351311
0.54, 0.12, 0, 0.0349239
0.56, 0.12, 0, 0.034581
0.58, 0.12, 0, 0.0341069
0.6, 0.12, 0, 0.0335054
0.62, 0.12, 0, 0.0327746
0.64, 0.12, 0, 0.0319145
0.66, 0.12, 0, 0.0309282
0.68, 0.12, 0, 0.0298192
0.7, 0.12, 0, 0.0285914
0.72, 0.12, 0, 0.0272494
0.74, 0.12, 0, 0.0257981
0.76, 0.12, 0, 0.0242427
0.78, 0.12, 0, 0.0225892
0.8, 0.12, 0, 0.0208437
0.82, 0.12, 0, 0.0190131
0.84, 0.12, 0, 0.0171044
0.86, 0.12, 0, 0.0151252
0.88, 0.12, 0, 0.0130833
0.9, 0.12, 0, 0.0109872
0.92, 0.12, 0, 0.00884528
0.94, 0.12, 0, 0.00666643
0.96, 0.12, 0, 0.00445967
0.98, 0.12, 0, 0.00223423
0.02, 0.16, 0, 0.0030356
0.04, 0.16, 0, 0.00605916
0.06, 0.16, 0, 0.00905709
0.08, 0.16, 0, 0.0120168
0.1, 0.16, 0, 0.0149259
0.12, 0.16, 0, 0.0177722
0.14, 0.16, 0, 0.0205443
0.16, 0.16, 0, 0.023231
0.18, 0.16, 0, 0.025822
0.2, 0.16, 0, 0.0283069
0.22, 0.16, 0, 0.0306755
0.24, 0.16, 0, 0.0329188
0.26, 0.16, 0, 0.0350284
0.28, 0.16, 0, 0.0369965
0.3, 0.16, 0, 0.0388158
0.32, 0.16, 0, 0.0404798
0.34, 0.16, 0, 0.0419844
0.36, 0.16, 0, 0.0433262
0.38, 0.16, 0, 0.0444988
0.4, 0.16, 0, 0.0454969
0.42, 0.16, 0, 0.0463173
0.44, 0.16, 0, 0.0469575
0.46, 0.16, 0, 0.0474154
0.48, 0.16, 0, 0.0476895
0.5, 0.16, 0, 0.0477789
0.52, 0.16, 0, 0.0476832
0.54, 0.16, 0, 0.0474024
0.56, 0.16, 0, 0.0469409
0.58, 0.16, 0, 0.0463041
0.6, 0.16, 0, 0.0454903
0.62, 0.16, 0, 0.0444984
0.64, 0.16, 0, 0.0433319
0.66, 0.16, 0, 0.0419945
